OrderID,Date,CustomerID,ProductID,Quantity,SellingPrice,TotalRevenue,DiscountAmt,ShippingCost,Channel,Status
ORD-000033,29-11-2024,CUST-0785,1084,2,2455.34,4910.69,2225.31,0,App,Cancelled
ORD-000033,29-11-2024,CUST-0516,1152,2,1216.93,2433.86,712.14,0,App,Delivered
ORD-000034,21-01-2024,CUST-0123,1127,1,4314.02,4314.02,145.98,0,App,Delivered
ORD-000035,21-08-2024,CUST-0499,1155,1,2217.39,2217.39,244.61,0,App,Delivered
ORD-000036,15-09-2024,CUST-0017,1116,1,1528.91,1528.91,119.09,0,App,Delivered
ORD-000037,11-10-2023,CUST-0182,1067,1,3861.27,3861.27,596.73,0,Web,Delivered
ORD-000038,28-02-2023,CUST-0375,1057,2,358.54,717.08,70.92,0,Web,Delivered
ORD-000039,02-11-2024,CUST-0740,1125,1,2620.86,2620.86,1584.14,0,App,Delivered
ORD-000040,08-08-2024,CUST-0647,1195,1,2562,2562,307,0,App,Delivered
ORD-000041,18-11-2024,CUST-0099,1163,1,3070.94,3070.94,732.06,0,App,Delivered
ORD-000041,18-11-2024,CUST-0042,1056,1,3212.17,3212.17,1619.83,0,Store,Delivered
ORD-000042,27-11-2024,CUST-0127,1188,1,2054.41,2054.41,531.59,0,App,Returned
ORD-000043,06-12-2023,CUST-0315,1213,1,2734.55,2734.55,204.45,0,App,Returned
ORD-000044,17-08-2024,CUST-0655,1192,1,2113.6,2113.6,325.4,0,App,Delivered
ORD-000045,02-11-2023,CUST-0169,1157,2,581.61,1163.22,268.78,0,Store,Delivered
ORD-000046,13-04-2024,CUST-0400,1237,2,4658.47,9316.94,259.06,0,Store,Returned
ORD-000047,17-11-2023,CUST-0174,1207,1,1462.41,1462.41,408.59,0,Web,Delivered
ORD-000048,16-05-2024,CUST-0566,1151,1,1035.57,1035.57,140.43,0,App,Delivered
ORD-000049,03-05-2024,CUST-0049,1240,1,2022.95,2022.95,302.05,0,App,Cancelled
ORD-000050,27-06-2024,CUST-0211,1191,1,476.55,476.55,49.45,62,App,Returned
ORD-000051,16-04-2023,CUST-0782,1113,1,2179.98,2179.98,56.02,0,App,Delivered
ORD-000052,16-06-2024,CUST-0404,1164,1,1054.03,1054.03,161.97,0,Store,Delivered
ORD-000053,03-01-2024,CUST-0163,1059,1,4058.91,4058.91,639.09,0,App,Cancelled
ORD-000054,15-05-2023,CUST-0092,1217,1,2162.98,2162.98,461.02,0,Web,Returned
ORD-000055,20-01-2024,CUST-0973,1161,1,2248.89,2248.89,196.11,0,App,Returned
ORD-000056,31-10-2024,CUST-0843,1067,1,4380.57,4380.57,77.43,0,App,Delivered
ORD-000057,19-12-2024,CUST-0891,1113,1,2024.59,2024.59,211.41,0,App,Delivered
ORD-000058,04-10-2023,CUST-0283,1099,1,1025.27,1025.27,68.73,0,App,Delivered
ORD-000059,17-10-2023,CUST-0820,1071,1,2866.95,2866.95,88.05,0,App,Delivered
ORD-000060,26-07-2023,CUST-0416,1073,1,2751.19,2751.19,67.81,0,App,Delivered
ORD-000061,07-05-2024,CUST-0385,1072,1,971.89,971.89,244.11,0,App,Delivered
ORD-000062,02-06-2023,CUST-0947,1176,1,1730.3,1730.3,19.7,0,App,Delivered
ORD-000063,12-04-2024,CUST-0522,1161,1,2274.73,2274.73,170.27,0,App,Returned
ORD-000064,25-10-2023,CUST-0538,1161,1,2288.77,2288.77,156.23,0,Web,Returned
ORD-000065,10-01-2023,CUST-0603,1160,1,1335.93,1335.93,35.07,0,App,Delivered
ORD-000066,06-04-2023,CUST-0430,1012,1,1579.56,1579.56,27.44,0,Web,Delivered
ORD-000067,07-12-2024,CUST-0832,1022,1,2944.52,2944.52,317.48,0,App,Delivered
ORD-000068,02-03-2023,CUST-0914,1021,2,2658.98,5317.96,84.04,0,App,Delivered
ORD-000069,24-03-2024,CUST-0683,1235,1,3713.87,3713.87,211.13,0,Web,Returned
ORD-000070,14-05-2023,CUST-0996,1075,1,724.68,724.68,220.32,0,App,Delivered
ORD-000071,13-01-2023,CUST-0495,1125,1,3720.88,3720.88,484.12,0,Store,Delivered
ORD-000072,16-11-2024,CUST-0902,1232,1,877.25,877.25,416.75,0,Web,Delivered
ORD-000073,08-05-2024,CUST-0472,1083,1,1639.9,1639.9,307.1,0,Store,Delivered
ORD-000074,25-02-2023,CUST-0532,1054,2,3190.22,6380.43,523.57,0,App,Delivered
ORD-000074,25-02-2023,CUST-0988,1024,1,2061.83,2061.83,104.17,0,App,Delivered
ORD-000075,17-07-2024,CUST-0514,1023,1,838.37,838.37,30.63,0,App,Delivered
ORD-000076,25-05-2024,CUST-0173,1028,1,2713.9,2713.9,574.1,0,App,Delivered
ORD-000077,24-07-2024,CUST-0778,1212,2,1780.97,3561.94,480.06,0,Web,Delivered
ORD-000078,29-07-2024,CUST-0668,1071,1,2533.76,2533.76,421.24,0,App,Delivered
ORD-000079,10-04-2024,CUST-0818,1154,1,1789.98,1789.98,177.02,0,App,Delivered
ORD-000080,10-04-2023,CUST-0204,1056,1,4584.58,4584.58,247.42,0,App,Delivered
ORD-000081,18-06-2024,CUST-0877,1103,1,957.21,957.21,148.79,0,Web,Delivered
ORD-000082,24-02-2024,CUST-0155,1219,1,2161.44,2161.44,62.56,0,App,Delivered
ORD-000083,15-07-2023,CUST-0636,1036,1,2772.22,2772.22,183.78,0,App,Delivered
ORD-000084,06-04-2024,CUST-0153,1203,1,1220.17,1220.17,99.83,0,Web,Cancelled
ORD-000085,20-07-2024,CUST-0732,1054,2,3201.94,6403.88,500.12,0,App,Delivered
ORD-000086,15-08-2024,CUST-0564,1118,2,3964.45,7928.9,125.1,0,App,Delivered
ORD-000087,29-01-2024,CUST-0473,1141,1,806.51,806.51,93.49,0,App,Returned
ORD-000088,29-10-2023,CUST-0182,1073,1,2644.47,2644.47,174.53,0,App,Delivered
ORD-000089,19-12-2024,CUST-0442,1224,1,1682.89,1682.89,209.11,0,App,Delivered
ORD-000090,25-10-2023,CUST-0011,1024,2,2122.89,4245.79,86.21,0,App,Delivered
ORD-000091,09-07-2024,CUST-0085,1193,1,2431.17,2431.17,42.83,0,App,Delivered
ORD-000092,14-11-2024,CUST-0297,1118,1,2523.05,2523.05,1503.95,0,App,Delivered
ORD-000093,14-01-2023,CUST-0529,1136,1,2810.37,2810.37,62.63,0,Web,Delivered
ORD-000094,14-06-2023,CUST-0055,1094,1,2524.31,2524.31,56.69,0,App,Delivered
ORD-000095,08-07-2024,CUST-0774,1094,2,2541.32,5082.65,79.35,0,Web,Delivered
ORD-000095,08-07-2024,CUST-0359,1075,1,865.44,865.44,79.56,0,Web,Delivered
ORD-000096,22-10-2023,CUST-0216,1215,1,4230.18,4230.18,256.82,0,App,Delivered
ORD-000097,19-07-2024,CUST-0667,1003,1,1399.04,1399.04,43.96,0,App,Delivered
ORD-000097,19-07-2024,CUST-0274,1112,1,962.85,962.85,101.15,0,App,Delivered
ORD-000098,09-09-2024,CUST-0079,1027,1,3897.5,3897.5,116.5,0,App,Delivered
ORD-000099,27-06-2023,CUST-0391,1102,1,738.47,738.47,4.53,0,App,Delivered
ORD-000100,19-09-2023,CUST-0586,1090,1,1808.13,1808.13,295.87,0,App,Returned
ORD-000100,19-09-2023,CUST-0543,1063,1,2226.52,2226.52,230.48,0,Web,Delivered
ORD-000101,17-07-2024,CUST-0585,1052,1,1533.24,1533.24,76.76,0,App,Delivered
ORD-000102,01-06-2024,CUST-0616,1099,1,1027.8,1027.8,66.2,0,App,Delivered
ORD-000103,06-12-2023,CUST-0969,1182,1,547.34,547.34,69.66,0,Web,Delivered
ORD-000104,26-10-2024,CUST-0473,1108,1,2408.46,2408.46,172.54,0,App,Delivered
ORD-000104,26-10-2024,CUST-0005,1064,3,1582.5,4747.5,541.5,0,Store,Delivered
ORD-000105,31-01-2024,CUST-0262,1037,1,755.19,755.19,2.81,0,App,Delivered
ORD-000106,04-06-2024,CUST-0424,1059,1,4064.98,4064.98,633.02,0,Store,Delivered
ORD-000107,21-06-2023,CUST-0352,1062,1,299.93,299.93,26.07,80,Web,Delivered
ORD-000108,02-12-2024,CUST-0523,1089,1,4446.83,4446.83,390.17,0,Web,Delivered
ORD-000109,24-10-2024,CUST-0742,1166,1,2981.94,2981.94,342.06,0,App,Returned
ORD-000110,17-03-2023,CUST-0358,1137,1,3245.49,3245.49,296.51,0,App,Delivered
ORD-000110,17-03-2023,CUST-0906,1187,1,2337.92,2337.92,244.08,0,App,Cancelled
ORD-000111,01-07-2024,CUST-0141,1156,1,2334.64,2334.64,22.36,0,Web,Delivered
ORD-000111,01-07-2024,CUST-0924,1168,1,593.58,593.58,48.42,0,App,Delivered
ORD-000112,16-10-2023,CUST-0130,1004,1,4484.47,4484.47,282.53,0,App,Delivered
ORD-000113,20-05-2023,CUST-0491,1231,1,3759.37,3759.37,1106.63,0,App,Delivered
ORD-000114,25-10-2024,CUST-0605,1007,2,4070.44,8140.87,737.13,0,App,Delivered
ORD-000115,02-09-2024,CUST-0375,1160,1,1353.49,1353.49,17.51,0,Web,Returned
ORD-000116,05-08-2023,CUST-0623,1048,1,3296.45,3296.45,274.55,0,Web,Delivered
ORD-000117,18-07-2023,CUST-0409,1117,1,3200.34,3200.34,297.66,0,Store,Delivered
ORD-000118,16-07-2024,CUST-0359,1181,1,1133.34,1133.34,51.66,0,Web,Returned
ORD-000119,13-05-2024,CUST-0306,1073,1,2253.24,2253.24,565.76,0,App,Delivered
ORD-000120,18-07-2023,CUST-0783,1119,1,4403.43,4403.43,448.57,0,App,Delivered
ORD-000121,09-01-2024,CUST-0669,1147,3,4515.8,13547.41,351.59,0,Web,Delivered
ORD-000122,18-10-2024,CUST-0572,1116,2,1614.8,3229.6,66.4,0,App,Delivered
ORD-000123,03-01-2024,CUST-0756,1070,1,4568.19,4568.19,75.81,0,App,Delivered
ORD-000124,24-05-2023,CUST-0502,1220,1,1690.53,1690.53,449.47,0,Web,Delivered
ORD-000125,03-06-2024,CUST-0653,1153,2,1849.16,3698.32,351.68,0,App,Delivered
ORD-000126,24-09-2023,CUST-0979,1123,3,4405.26,13215.79,1007.21,0,App,Delivered
ORD-000127,26-08-2024,CUST-0832,1103,1,1028.91,1028.91,77.09,0,App,Delivered
ORD-000128,09-11-2024,CUST-0836,1166,3,2009.48,6028.44,3943.56,0,App,Delivered
ORD-000128,09-11-2024,CUST-0674,1022,1,2310.84,2310.84,951.16,0,App,Delivered
ORD-000129,10-05-2024,CUST-0981,1056,1,3796.88,3796.88,1035.12,0,App,Delivered
ORD-000130,15-11-2024,CUST-0074,1235,2,2981.77,5963.54,1886.46,0,App,Delivered
ORD-000130,15-11-2024,CUST-0255,1233,3,3157.44,9472.32,2845.68,0,Web,Delivered
ORD-000131,27-09-2023,CUST-0405,1121,1,2575.76,2575.76,154.24,0,Web,Delivered
ORD-000132,21-03-2023,CUST-0361,1117,1,3021.97,3021.97,476.03,0,Web,Delivered
ORD-000133,13-05-2024,CUST-0884,1139,2,803.72,1607.43,180.57,0,App,Delivered
ORD-000134,10-06-2024,CUST-0270,1081,1,3660.42,3660.42,105.58,0,App,Delivered
ORD-000135,24-08-2023,CUST-0549,1135,1,2394.59,2394.59,41.41,0,App,Delivered
ORD-000136,24-10-2024,CUST-0833,1129,1,850.46,850.46,5.54,0,App,Delivered
ORD-000137,10-02-2023,CUST-0468,1215,1,4375.04,4375.04,111.96,0,App,Delivered
ORD-000138,31-07-2024,CUST-0323,1229,2,1863.56,3727.12,456.88,0,App,Delivered
ORD-000139,13-09-2024,CUST-0895,1059,2,4577.8,9155.6,240.4,0,Web,Delivered
ORD-000140,06-07-2023,CUST-0843,1150,1,1364.78,1364.78,35.22,0,App,Delivered
ORD-000141,12-03-2023,CUST-0518,1218,1,2995.41,2995.41,49.59,0,App,Returned
ORD-000142,05-03-2024,CUST-0052,1006,1,1038.6,1038.6,28.4,0,Web,Delivered
ORD-000143,28-06-2024,CUST-0221,1221,1,1397.99,1397.99,109.01,0,Web,Returned
ORD-000144,25-11-2024,CUST-0032,1170,1,1529.96,1529.96,490.04,0,App,Returned
ORD-000145,08-05-2024,CUST-0807,1127,1,3619.93,3619.93,840.07,0,App,Delivered
ORD-000146,11-04-2023,CUST-0787,1069,1,1436.55,1436.55,186.45,0,App,Delivered
ORD-000147,10-07-2024,CUST-0095,1094,1,2306.45,2306.45,274.55,0,App,Delivered
ORD-000148,08-01-2023,CUST-0061,1197,1,1632.97,1632.97,224.03,0,App,Delivered
ORD-000149,22-08-2024,CUST-0148,1039,2,3358.17,6716.33,455.67,0,App,Delivered
ORD-000150,28-07-2023,CUST-0443,1212,1,1874.74,1874.74,146.26,0,App,Delivered
ORD-000151,11-11-2023,CUST-0800,1062,1,244.65,244.65,81.35,47,Web,Delivered
ORD-000152,02-04-2024,CUST-0007,1203,2,1300.14,2600.29,39.71,0,Web,Delivered
ORD-000153,20-09-2024,CUST-0985,1232,1,1262.8,1262.8,31.2,0,App,Cancelled
ORD-000154,29-05-2023,CUST-0152,1082,1,4182.94,4182.94,534.06,0,App,Delivered
ORD-000155,29-01-2024,CUST-0902,1013,1,2783.16,2783.16,303.84,0,App,Delivered
ORD-000156,29-06-2023,CUST-0708,1207,1,1814.39,1814.39,56.61,0,App,Delivered
ORD-000157,04-02-2023,CUST-0200,1170,1,1808.37,1808.37,211.63,0,App,Delivered
ORD-000158,01-11-2024,CUST-0320,1123,1,2848.37,2848.37,1892.63,0,App,Delivered
ORD-000158,01-11-2024,CUST-0297,1226,1,1655.86,1655.86,642.14,0,App,Delivered
ORD-000159,19-10-2023,CUST-0389,1232,1,1180.85,1180.85,113.15,0,App,Delivered
ORD-000160,19-07-2023,CUST-0560,1230,1,4539.83,4539.83,3.17,0,App,Returned
ORD-000161,30-05-2024,CUST-0890,1238,2,1249.63,2499.27,706.73,0,Web,Delivered
ORD-000162,11-08-2024,CUST-0865,1048,1,3369.02,3369.02,201.98,0,App,Delivered
ORD-000163,14-04-2024,CUST-0818,1089,2,4211.56,8423.12,1250.88,0,App,Delivered
ORD-000164,14-08-2023,CUST-0922,1105,1,1138.41,1138.41,56.59,0,App,Delivered
ORD-000165,27-09-2023,CUST-0387,1002,1,2295.01,2295.01,257.99,0,Store,Delivered
ORD-000166,02-05-2024,CUST-0766,1115,1,2917.99,2917.99,667.01,0,Store,Delivered
ORD-000167,14-07-2023,CUST-0582,1223,1,797.16,797.16,98.84,0,App,Delivered
ORD-000168,13-09-2023,CUST-0795,1226,1,2029.5,2029.5,268.5,0,Store,Returned
ORD-000169,19-05-2024,CUST-0470,1174,1,1282.21,1282.21,283.79,0,App,Returned
ORD-000170,19-05-2024,CUST-0815,1019,2,3818.45,7636.91,1747.09,0,Web,Delivered
ORD-000171,07-06-2024,CUST-0939,1016,1,3116.86,3116.86,295.14,0,App,Delivered
ORD-000172,07-07-2024,CUST-0985,1113,1,1947.42,1947.42,288.58,0,App,Delivered
ORD-000172,07-07-2024,CUST-0496,1053,1,3580.07,3580.07,177.93,0,App,Returned
ORD-000173,14-04-2023,CUST-0036,1023,1,835.15,835.15,33.85,0,App,Delivered
ORD-000174,19-09-2024,CUST-0671,1232,1,1211.71,1211.71,82.29,0,App,Delivered
ORD-000175,15-02-2024,CUST-0089,1150,1,1372.46,1372.46,27.54,0,App,Delivered
ORD-000176,04-10-2023,CUST-0464,1109,1,799.21,799.21,117.79,0,Web,Delivered
ORD-000177,29-04-2024,CUST-0848,1029,1,2969.44,2969.44,240.56,0,App,Delivered
ORD-000178,20-11-2023,CUST-0928,1061,1,2739.25,2739.25,1121.75,0,App,Delivered
ORD-000179,03-03-2023,CUST-0974,1185,1,1891.67,1891.67,272.33,0,App,Returned
ORD-000180,04-01-2024,CUST-0760,1003,2,1387.22,2774.44,111.56,0,Web,Returned
ORD-000181,12-09-2024,CUST-0520,1037,1,684.19,684.19,73.81,0,App,Delivered
ORD-000182,20-11-2024,CUST-0398,1031,1,652.63,652.63,231.37,0,App,Delivered
ORD-000183,29-05-2023,CUST-0881,1031,1,672.47,672.47,211.53,0,App,Delivered
ORD-000184,15-03-2023,CUST-0657,1027,1,3825.25,3825.25,188.75,0,App,Delivered
ORD-000184,15-03-2023,CUST-0659,1086,1,3934.62,3934.62,604.38,0,Web,Delivered
ORD-000185,17-06-2024,CUST-0605,1203,1,1283.59,1283.59,36.41,0,App,Returned
ORD-000186,18-12-2024,CUST-0321,1049,1,1347.66,1347.66,85.34,0,App,Delivered
ORD-000187,25-02-2023,CUST-0286,1145,1,1409.32,1409.32,182.68,0,App,Returned
ORD-000187,25-02-2023,CUST-0811,1208,1,2952.75,2952.75,452.25,0,App,Delivered
ORD-000188,03-10-2024,CUST-0496,1065,1,1141.03,1141.03,29.97,0,Store,Returned
ORD-000189,02-05-2024,CUST-0004,1149,2,872.22,1744.44,551.56,0,Store,Delivered
ORD-000190,06-07-2024,CUST-0096,1213,1,2660.8,2660.8,278.2,0,App,Delivered
ORD-000191,16-10-2024,CUST-0404,1174,2,1452.86,2905.72,226.28,0,App,Returned
ORD-000192,27-02-2024,CUST-0836,1203,1,1319.98,1319.98,0.02,0,App,Delivered
ORD-000193,25-04-2024,CUST-0581,1132,1,578.88,578.88,46.12,0,Web,Delivered
ORD-000194,27-10-2023,CUST-0104,1172,1,4484.22,4484.22,401.78,0,App,Returned
ORD-000195,13-09-2023,CUST-0555,1205,1,3431.92,3431.92,213.08,0,App,Delivered
ORD-000196,03-09-2023,CUST-0181,1065,1,1063.29,1063.29,107.71,0,App,Delivered
ORD-000197,28-06-2024,CUST-0842,1215,1,3912.56,3912.56,574.44,0,App,Returned
ORD-000198,24-09-2024,CUST-0889,1048,1,3307.46,3307.46,263.54,0,Store,Delivered
ORD-000199,23-01-2023,CUST-0849,1060,1,2961.39,2961.39,124.61,0,App,Delivered
ORD-000200,04-06-2023,CUST-0841,1164,1,1139.35,1139.35,76.65,0,App,Delivered
ORD-000200,04-06-2023,CUST-0545,1119,1,4828.9,4828.9,23.1,0,App,Delivered
ORD-000201,30-09-2023,CUST-0661,1111,1,4394.57,4394.57,333.43,0,Web,Delivered
ORD-000202,13-01-2023,CUST-0358,1100,1,3082.42,3082.42,119.58,0,Web,Delivered
ORD-000203,04-02-2023,CUST-0035,1183,1,2092.09,2092.09,29.91,0,App,Delivered
ORD-000204,16-11-2023,CUST-0937,1225,1,2301.06,2301.06,1143.94,0,App,Delivered
ORD-000205,07-05-2024,CUST-0738,1004,1,3655.68,3655.68,1111.32,0,App,Delivered
ORD-000206,10-10-2024,CUST-0262,1154,1,1732.62,1732.62,234.38,0,App,Delivered
ORD-000207,13-02-2023,CUST-0385,1005,1,3368.15,3368.15,387.85,0,App,Delivered
ORD-000208,26-05-2024,CUST-0955,1045,1,1097.22,1097.22,345.78,0,App,Delivered
ORD-000208,26-05-2024,CUST-0203,1165,1,1208.89,1208.89,312.11,0,App,Delivered
ORD-000209,25-07-2024,CUST-0622,1185,1,1902.53,1902.53,261.47,0,App,Delivered
ORD-000210,02-01-2024,CUST-0080,1048,1,3549.85,3549.85,21.15,0,App,Delivered
ORD-000211,16-05-2024,CUST-0708,1188,1,2192.54,2192.54,393.46,0,Web,Delivered
ORD-000211,16-05-2024,CUST-0072,1031,2,722.07,1444.14,323.86,0,App,Delivered
ORD-000212,27-09-2023,CUST-0937,1218,1,2690.6,2690.6,354.4,0,Web,Delivered
ORD-000213,26-09-2024,CUST-0500,1211,1,292.15,292.15,10.85,74,Web,Delivered
ORD-000214,14-07-2023,CUST-0933,1008,1,4491.92,4491.92,405.08,0,App,Delivered
ORD-000215,24-04-2023,CUST-0933,1215,1,4457.54,4457.54,29.46,0,App,Delivered
ORD-000215,24-04-2023,CUST-0158,1033,1,2238.75,2238.75,66.25,0,App,Returned
ORD-000216,16-05-2024,CUST-0075,1091,1,673.78,673.78,108.22,0,App,Delivered
ORD-000217,02-08-2023,CUST-0609,1145,2,1393.3,2786.6,397.4,0,App,Delivered
ORD-000218,01-03-2024,CUST-0155,1090,1,2085.6,2085.6,18.4,0,Web,Delivered
ORD-000219,08-11-2023,CUST-0245,1042,1,2071.81,2071.81,805.19,0,App,Delivered
ORD-000219,08-11-2023,CUST-0274,1223,1,614.46,614.46,281.54,0,App,Delivered
ORD-000220,25-07-2024,CUST-0729,1112,1,962.08,962.08,101.92,0,App,Delivered
ORD-000221,17-04-2023,CUST-0732,1108,1,2425.54,2425.54,155.46,0,Store,Delivered
ORD-000222,29-03-2024,CUST-0840,1148,2,4443.39,8886.79,799.21,0,App,Delivered
ORD-000223,10-10-2024,CUST-0627,1205,1,3312.35,3312.35,332.65,0,Web,Delivered
ORD-000224,18-09-2023,CUST-0826,1069,1,1389.33,1389.33,233.67,0,App,Returned
ORD-000225,17-01-2023,CUST-0243,1047,3,3636.54,10909.63,517.37,0,Web,Delivered
ORD-000226,23-01-2023,CUST-0348,1130,2,1951.42,3902.84,549.16,0,App,Delivered
ORD-000227,08-08-2024,CUST-0546,1074,1,2151.74,2151.74,121.26,0,App,Delivered
ORD-000228,27-08-2023,CUST-0476,1174,1,1431.99,1431.99,134.01,0,App,Delivered
ORD-000229,29-11-2023,CUST-0131,1239,1,2695.29,2695.29,1492.71,0,Store,Delivered
ORD-000230,01-09-2024,CUST-0094,1068,1,1363.82,1363.82,188.18,0,Store,Delivered
ORD-000231,09-12-2023,CUST-0913,1148,2,4540.42,9080.84,605.16,0,App,Delivered
ORD-000232,30-10-2024,CUST-0217,1092,2,504.04,1008.08,105.92,0,App,Delivered
ORD-000233,23-11-2023,CUST-0912,1136,1,2081.2,2081.2,791.8,0,Web,Returned
ORD-000234,07-02-2024,CUST-0592,1061,1,3527.84,3527.84,333.16,0,Web,Delivered
ORD-000235,01-06-2023,CUST-0030,1202,1,2746.51,2746.51,257.49,0,App,Returned
ORD-000236,28-05-2024,CUST-0508,1101,1,3240.99,3240.99,884.01,0,App,Delivered
ORD-000237,08-08-2024,CUST-0951,1220,1,1903.85,1903.85,236.15,0,Web,Returned
ORD-000238,28-11-2023,CUST-0606,1125,1,3455.95,3455.95,749.05,0,App,Delivered
ORD-000239,19-12-2023,CUST-0051,1075,1,901.79,901.79,43.21,0,Store,Delivered
ORD-000240,28-03-2024,CUST-0809,1022,1,2809.78,2809.78,452.22,0,App,Delivered
ORD-000241,29-03-2023,CUST-0819,1107,1,1241.89,1241.89,206.11,0,Web,Delivered
ORD-000242,15-01-2023,CUST-0077,1052,2,1536.31,3072.63,147.37,0,Web,Delivered
ORD-000243,05-08-2023,CUST-0314,1069,1,1560.03,1560.03,62.97,0,App,Delivered
ORD-000244,16-12-2024,CUST-0865,1047,1,3291.33,3291.33,517.67,0,App,Delivered
ORD-000245,25-07-2023,CUST-0236,1213,1,2915.6,2915.6,23.4,0,App,Cancelled
ORD-000246,05-10-2023,CUST-0315,1138,2,2608.03,5216.06,297.94,0,Web,Returned
ORD-000247,31-01-2024,CUST-0064,1211,1,258.61,258.61,44.39,95,App,Returned
ORD-000248,01-04-2023,CUST-0989,1219,1,2071.22,2071.22,152.78,0,App,Cancelled
ORD-000249,26-06-2024,CUST-0801,1131,1,4411.5,4411.5,554.5,0,App,Returned
ORD-000250,06-11-2023,CUST-0728,1184,3,2949.48,8848.43,3361.57,0,Web,Delivered
ORD-000250,06-11-2023,CUST-0599,1010,2,2571.57,5143.14,2814.86,0,App,Returned
ORD-000251,05-06-2023,CUST-0439,1074,1,2226.2,2226.2,46.8,0,App,Delivered
ORD-000252,02-10-2024,CUST-0947,1023,1,794.32,794.32,74.68,0,App,Delivered
ORD-000253,04-04-2024,CUST-0420,1193,1,2422.57,2422.57,51.43,0,Web,Delivered
ORD-000254,13-11-2023,CUST-0196,1123,2,2951.79,5903.58,3578.42,0,Web,Delivered
ORD-000255,02-11-2024,CUST-0100,1187,2,1989.76,3979.51,1184.49,0,App,Delivered
ORD-000256,22-11-2023,CUST-0554,1047,1,3209.57,3209.57,599.43,0,Store,Delivered
ORD-000257,07-11-2023,CUST-0394,1008,2,3067.81,6135.62,3658.38,0,Web,Delivered
ORD-000258,20-04-2023,CUST-0889,1164,1,1036.16,1036.16,179.84,0,App,Delivered
